,RNA.CST,RNA.HYP,RNA.RN,RNA.DP,RNA.MED,RNA.Other
Gm29570,0.0606029276953375,0.0537104636075714,0.0657844205341112,0.0808833390864254,0.0819086785238166,0.0740870690149232
Tram1,0.117631962273262,0.298450331002512,0.209871547121029,0.255467922323063,0.247680797172811,0.326251140455658
Lactb2,0.3929158654721,0.580725557868494,0.674919826736989,0.560301783681336,0.535785607938676,0.639155364756883
Xkr9,0.000445237333291717,0,0,0.00345250477261908,0.00144609759480472,0
Eya1,0.0031770182109404,0.107154891576066,0.0157485721326616,0.00477310636259414,0.00616188251872629,0.461296674975969
Gm9947,0.0280118025464847,0.0183223742519436,0.0544255463381767,0.0500800984485937,0.0578263969364357,0.0345537502086073
Msc,0.0035866905666788,0.0403216447962222,0.0073451257258238,0.00970704901513676,0.0154082363202333,0.0136108808499399
Trpa1,0.00446256484891317,0.00732484903974171,0.00690911505684991,0.0148902534323905,0.0173919213348755,0.0173744710370728
Kcnb2,4.98084992830264,10.6815703460815,4.4019147262256,15.0408943440998,7.78936596843481,12.2615245943248
Terf1,0.362968257977201,0.682750815746301,0.498847490839697,1.00155768952853,0.737768242492062,0.708723739327419
Sbspon,0.0145376950179822,0.0348103096975887,0.0112142737595448,0.0341853827434489,0.0340476269399358,0.0442286091709972
4930444P10Rik,0.0661814523477213,0.094492548096037,0.0294522335598495,0.0672970207674186,0.0646896040413724,0.0923411823665748
Rpl7,0.0958845892897193,0.205552290249639,0.138867838586061,0.143322171876166,0.169383019767474,0.161859073533271
Rdh10,0.0946788606730877,0.165020356997955,0.113248667991991,0.120414877494916,0.129447089224584,0.11373719134207
Gm28095,0.0190387618972353,0.0541014727069842,0.0338786418443945,0.067044432149823,0.0750246316948652,0.0535323459168062
Stau2,2.34091352922023,3.35009492888016,2.88796034441343,3.60198098407793,3.8465979348456,3.34454043418467
Gm7568,0.0267943983270874,0.0906002337871784,0.0488940436550056,0.0935531951530564,0.104715692697361,0.073297853275013
Ube2w,2.05263943418596,1.84530025289427,1.66632873420455,1.84703067361923,1.81366981506106,1.71770741121757
Eloc,0.181587798908018,0.335207526876432,0.215929594679198,0.260389017070759,0.223282177093666,0.282464722074749
D030040B21Rik,0.000565371575209332,0,0.00169460268276849,0.00277388192220309,0.00111197199200341,0
Tmem70,0.109270320884374,0.137910496557102,0.121182543338994,0.120541681061111,0.136042821342088,0.128892963129747
Ly96,0.0367044546414603,0.0369762383392464,0.0829016556412454,0.0286815278006892,0.0488049571960665,0.0735617376850719
Gm28376,3.14808306565851,0.223911774883102,0.930372151662074,0.0797759161163514,0.10041830160486,0.253640602914972
Jph1,1.50551771284987,0.129067960008556,0.308384493412463,0.040557862600756,0.0597566852105637,0.102770093467356
Gm28783,0.00240227252584621,0,0,0,0,0.00469909637652763
Gdap1,0.426716085138836,0.651633242105602,0.57423556747176,0.60209590474397,0.649676864658038,0.695242677600766
Gm28784,0.0114400685219694,0,0.00597962281104945,0.00139317130512335,0.0087140042711081,0.00080151094431134
Pi15,0.00686426885795926,0.0191739166913643,0.0129886477395269,0.0195737950884334,0.014461646300847,0.0138646007126266
Gm28154,0.012533161221759,0.00521691889631191,0.0462460109962361,0.0334898100049393,0.0336633214318045,0.0227903851132532
Gm16070,0.0323284474282805,0.058233341843403,0.134577143875411,0.116750236958648,0.132101664629727,0.0771344955238864
