,RNA.0,RNA.1,RNA.2,RNA.3,RNA.4,RNA.5,RNA.6
AI597479,0.0982559055998362,0.0865785319958075,0.0399763960678449,0.0307756350196827,0.0914907825762992,0.0833381124753274,0.0581772300607682
Fhl2,0.722777528160396,0.755512467604846,1.56695607435809,1.19969317324349,0.706455577324459,0.971264271193693,2.01265556368401
Gm29040,0.00430144793439551,0.00116444963219694,0.00522250766761661,0,0.00163970661057558,0.0160299141672588,0.023658777002708
Nck2,0.688051642130637,0.69502061577006,0.844027010794857,0.898796025726073,0.629529083159464,0.772774259288673,0.670135775684768
Ecrg4,0.00513486231041702,0.00156969321761758,0,0.00269861320965769,0,0,0.00401265591676146
Gm29155,0.00760030520845018,0.010945323083215,0.00701701761744521,0,0.00088307051388699,0.0106473367816508,0.00547084858332376
Gm29156,0.00153667048990285,0.00135293940969089,0,0.0004897281000205,0.00174336787991124,0,0
Uxs1,0.687524201771231,0.657739567837571,0.951502366727408,1.11431371705696,0.702136776233738,0.605511856757532,0.871227399234408
Tpp2,0.675856384649549,0.691604246849087,0.757254984198953,1.06998046965685,0.795952777185138,0.607550518799384,0.910266598474825
Mettl21c,0.0220828644445423,0.0128541336183015,0.00292908632933657,0,0.0266241426664251,0.0201503080419302,0.00296909381178499
Gm8251,0.0102174692642104,0.00820564299909164,0.006117992035162,0.00500065970274376,0.00521795307278346,0.0093770901153015,0.0210623876952605
Tex30,0.0180362538419384,0.0314731948794571,0.0213630833065784,0.0186576566068171,0.0240263352534591,0.0475679264644655,0.0323817099448059
Poglut2,0.0722687607902621,0.0677933465157944,0.0219974167083116,0.0640096688503653,0.102757737497436,0.0505128625599353,0.0259108435682266
Bivm,0.199123204191976,0.187088415038308,0.0696460867477251,0.085675034287664,0.201305660275332,0.179243390860763,0.0777348146185359
Ercc5,0.224932888574154,0.236872545887166,0.238604738352852,0.274205939387273,0.230864612075378,0.425194993546836,0.233803223451861
Mettl21e,0.00770337107855027,0.00467165015297555,0.00244136307407703,0.000502127741196935,0.00615901593706964,0,0
Gulp1,0.00131756990328389,0.00098195269148323,0.0507070274763409,0.0141688534264055,0.00387102761816756,0.0206630378598512,0.207229089691979
4930521E06Rik,0,0,0.00678713365896532,0.00677146673125233,0.00174023328871375,0,0.02161065109399
Col5a2,0.00322329177037317,0.00952762754690774,0.0177597822839532,0.0140603810809676,0.00305837026722008,0.00786941802505938,0
Wdr75,0.242435305330211,0.23591489917231,0.244804097662811,0.298253335522477,0.243919068220311,0.276851463713826,0.257922877994888
Slc40a1,0.0173601823934629,0.039463934861725,0.0109872089698226,0.0164163228791482,0.0386486270200654,0.0332299393520175,0.0375044073639837
Dnah7b,0.00815064118279807,0.00439136951411804,0.00526764073701678,0.00364147828293774,0.00330985029452661,0,0.00634761037859687
Dnah7c,0.0227190984545607,0.0327053443011127,0.00903735096284746,0.00809101939903956,0.0151370870776857,0.00314369615044975,0.0063351057325309
Slc39a10,0.384322762472613,0.351868568715548,0.366989512423198,0.342527173748368,0.377691229714808,0.396813089592376,0.159390579249162
